ID	Wörter	Redewendung / Metapher	Originaltext	Zuweisung	staufisch	anti-staufisch	moralisch pos.	moralisch neg.	fol.	Zeile	Kommentar	annotiert
	liebevoll		pius	Heinrich VI.	x		x		131v	1173		LS
	wohlwollend		benignus	Heinrich VI.	x		x		131v	1173		LS
		Du bist die Sonne	Tu sol	Heinrich VI.	x		x		133v	1237		LS
		Du das Licht in der Welt	Tu lumien in orbe	Heinrich VI.	x		x		133v	1237		LS
		Du der ersehnte Tag	Tu spectata dies	Heinrich VI.	x		x		133v	1238		LS
		der Du kommst ohne Nacht	qui sine nocte venis	Heinrich VI.	x		x		133v	1238		LS
		Du wirst die Finsternis des Reiches mit dem Lich Deiner Waffe vertreiben	Tu regni tenebras armata luce fugabis  	Heinrich VI.	x		x		133v	1239		LS
		Du wirst die Fülle des Freidens sein, der Du die Streitigkeiten schlichtest	Discutiens lites copia pacis eris	Heinrich VI.	x		x		133v	1240		LS
		der Du die Welt unter den Frieden zwingst	Quis mundum sub pace ligas 	Heinrich VI.	x		x		133v	1241		LS
		der Du die Kriege unterdrückst	qui bella coherces	Heinrich VI.	x		x		133v	1241		LS
		der Du die stolzen Nacken der Könige unter Deinem Fusse zertrittst	Inclita qui regum sub pede colla teris	Heinrich VI.	x		x		133v	1242		LS
		Denn der Welt zu dienen, das scheint Dir Herrschen zu bedeuten	Nam servire tibi mundo regnare videtur	Heinrich VI.	x		x		133v	1245		LS
		und darin wirst Du als Kaiser grösser als der gorsse Caesar sein	Maior in hoc magno Cesare Cesar eris	Heinrich VI.	x		x		133v	1246		LS
		das Königlein hat unsere Stadt verlassen	profugus nostram dimisit regulus urbem 	Tankred v. L.	x			x	133v	1247		LS
		elende Gattin	miserabilis uxor	Sibylle v. Medania	x			x	134v	1257		LS
	elend		miseri	Tankred v. L.	x			x	134v	1257		LS
		liess sie verbittert aus ihren Augen die Tränen fliessen	In lacrimas oculos solvit amara suos	Sibylle v. Medania	x			x	134v	1262		LS
	Tyrannei		tirannidis	Tankred v. L.	x			x	134v	1279		LS
		demütig um Gnade flehen	veniam summissa precabor	Sibylle v. Medania	x		x		134v	1293		LS
	Schluchzen		Singultus	Sibylle v. Medania	x			x	134v	1295		LS
	Wehklagen		gemitus	Sibylle v. Medania	x			x	134v	1295		LS
	Seufzen		suspiria	Sibylle v. Medania	x			x	134v	1295		LS
	Weinen		fletus	Sibylle v. Medania	x			x	134v	1295		LS
		Sie werden für mich kämpfen	Pro me pugnabunt	Sibylle v. Medania		x		x	134v	1297		LS
